1_Верхпред ДД_РЧВ2@Пусконаладка,KONTAR Ethernet,XRAM_FLOT,1#01B0,,
1_Верхпред ДД_Пром@Пусконаладка,KONTAR Ethernet,XRAM_FLOT,1#01B4,,
1_Верхпред ДД_Перек@Пусконаладка,KONTAR Ethernet,XRAM_FLOT,1#01B8,,
1_ДД_РЧВ1@Показания,KONTAR Ethernet,XRAM_FLOT,1#0C3F,,
1_ДД_РЧВ2@Показания,KONTAR Ethernet,XRAM_FLOT,1#0C43,,
1_ДД_Пром@Показания,KONTAR Ethernet,XRAM_FLOT,1#0C47,,
1_ДД_Перек@Показания,KONTAR Ethernet,XRAM_FLOT,1#0C4B,,
1_СР РПВ@Показания,KONTAR Ethernet,XRAM_BOOL,1#0C56,,
1_ВУ РПВ@Показания,KONTAR Ethernet,XRAM_BOOL,1#0C55,,
1_НУ БР@Показания,KONTAR Ethernet,XRAM_BOOL,1#0E62,,
1_НУ РПВ@Показания,KONTAR Ethernet,XRAM_BOOL,1#0C57,,
1_ВУ БР@Показания,KONTAR Ethernet,XRAM_BOOL,1#0E64,,
1_ОбрСвяФ1Авар@Настройка,KONTAR Ethernet,XRAM_FLOT,1#018C,,
1_ОбрСвяФ2Авар@Настройка,KONTAR Ethernet,XRAM_FLOT,1#0190,,
1_ОбрСвяФ3Авар@Настройка,KONTAR Ethernet,XRAM_FLOT,1#0194,,
1_ОбрСвяФ4Авар@Настройка,KONTAR Ethernet,XRAM_FLOT,1#0198,,
1_Ур_Сраб_РЧВ1@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01BC,,
1_гист_РЧВ1@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01C0,,
1_Ур_Сраб_РЧВ2@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01C4,,
1_гист_РЧВ2@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01C8,,
1_ДлитРабНЦ1@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01CC,,
1_ОбрСВНЦ1@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01D0,,
1_ОбрСВНЦ5@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01D4,,
1_ОбрСВНЦ6@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01D8,,
1_УрНЦ1@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01DC,,
1_ГистНЦ1@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01E0,,
1_УрНЦ5@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01E4,,
1_ГистНЦ5@Настройка,KONTAR Ethernet,XRAM_FLOT,1#01E8,,
